diccionario,bodega,mae,loss,hp_clean
B,BDG-5JF9D,0.00013149064034223557,1.7289789155938706e-08,"{'lstm_units': 48, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
B,BDG-1R7WO,0.0005949150654487312,3.6201817010805826e-07,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-46UXE,0.0007513862801715732,5.697320375475101e-07,"{'lstm_units': 112, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-4WWK2,0.0011474118800833821,1.3165540622139815e-06,"{'lstm_units': 128, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-1DCZW,0.0017652420792728662,3.116079597020871e-06,"{'lstm_units': 64, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
B,BDG-W61BM,0.013295439071953297,0.00018011846987064928,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-19GNI,0.07439189404249191,0.0055344803258776665,"{'lstm_units': 48, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-227LM,0.14998853206634521,0.024643424898386,"{'lstm_units': 48, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-3ZX47,0.15591594576835632,0.030295858159661293,"{'lstm_units': 80, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-21NV0,0.17941546440124512,0.03260227292776108,"{'lstm_units': 80, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-18JWG,0.18494683504104614,0.034207314252853394,"{'lstm_units': 128, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
B,BDG-4M0CY,0.23835080862045288,0.06770392507314682,"{'lstm_units': 128, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-WR6VI,0.24435660243034363,0.06025245040655136,"{'lstm_units': 32, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-TP8M9,0.2450614720582962,0.0730714201927185,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-5MDWK,0.26949864625930786,0.08165980130434036,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 9.999999747378752e-05}"
B,BDG-2RRFU,0.3093864917755127,0.11873927712440491,"{'lstm_units': 112, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-1R0Z2,0.33765196800231934,0.11621611565351486,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-4OAGH,0.35623589158058167,0.15376965701580048,"{'lstm_units': 112, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-4VLJX,0.46778371930122375,0.2295166701078415,"{'lstm_units': 96, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-5R24T,0.4724273085594177,0.22328008711338043,"{'lstm_units': 16, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
B,BDG-1KJ8Q,0.4759628474712372,0.2589190900325775,"{'lstm_units': 16, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-1GFVI,0.507383406162262,0.5001090168952942,"{'lstm_units': 32, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
B,BDG-3NM8Y,0.5127015709877014,0.2647102177143097,"{'lstm_units': 16, 'lstm_dropout': 0.0, 'learning_rate': 0.0010000000474974513}"
B,BDG-43ZU5,0.5420179963111877,0.3081022799015045,"{'lstm_units': 128, 'lstm_dropout': 0.0, 'learning_rate': 0.0005000000237487257}"
